kepid,koi_count,fits_product_count,fits_bytes,fits_set_sha256,raw_purged,raw_retention_reason,processing_rebuild_verified_at_run,constructed_qc_fail,constructed_qc_pass,hard_preprocessing_failure,invalid_source_product,no_archive_product,other_technical_failure,retrieval_failure
2711114,1,17,7439040,f7cb12a42cfedf312874ed1eae16fbea86b62128adb618b4b2ea48b9453d9930,True,,False,0,1,0,0,0,0,0
2711123,1,17,7439040,676d8f51e8da269bb93c45e6339c015f8f069fd2512771a1106efef3d3e83674,True,,True,0,1,0,0,0,0,0
2711131,1,17,7439040,814d9a8ef0d67b768beb3aadcc05a743b5256a00f56fa11c7ae5326efc55176b,True,,False,0,1,0,0,0,0,0
2711597,1,17,7439040,48cefe3a492f16a5cea0dbb2275a3093c23f4cc1ff4b2817e690bf6c8dcce6db,True,,False,0,1,0,0,0,0,0
2712825,1,17,7439040,b61c4f18e971f145038e7b612518730573a3be477bffc4582272816b2c14e722,True,,False,0,1,0,0,0,0,0
2713049,1,17,7439040,2099b6e1257494beed6a2ccf440d8b940e058199d02a5e5b76cd6d03ae039475,True,,False,0,1,0,0,0,0,0
2715135,1,17,7439040,187fdb477a6cfbb6cfccf6c20a97f569ed8e9af3a755d1ad8dfc245ee879b529,True,,False,0,1,0,0,0,0,0
2715695,1,15,6779520,7e5b3321902381c18232a553314139dce9698c4a3ac7647e988917dca7b38454,True,,False,0,1,0,0,0,0,0
2716801,1,16,7246080,2ae4db7d43f63dbcd785dcc1502e310c46abb8aedff9099f572bb5a75d22ebb0,True,,False,0,1,0,0,0,0,0
2716853,2,16,7246080,e58760474329b22e8dcb64218f58c3e4a73bc8b3fa82f907a61e4aa9855cb6c2,True,,False,0,2,0,0,0,0,0
2717158,1,17,7439040,2019f96be76c9f50b3e178b7f3fd2ac182a933496f27b4c5ad3362ade1332d6e,True,,False,0,1,0,0,0,0,0
2718778,1,14,6312960,d117b17a4ba4f006a533fde0465bf42e2c9cc0d47e8ac2ac39d821a87c42511c,True,,True,0,1,0,0,0,0,0
2719873,1,17,7439040,ae84cb0b2e37450ce25cc2416f72cf4b270bb0b660620a1427157057c32e8f2b,True,,False,0,1,0,0,0,0,0
