strategy,repeat_id,seed,partition,rows,target_fraction,row_fraction,row_fraction_deviation,negative_count,positive_count,positive_prevalence,prevalence_deviation,hosts,single_koi_hosts,multi_koi_hosts,multi_koi_rows,mixed_label_hosts,koi_period_count,koi_period_missing,koi_period_minimum,koi_period_p10,koi_period_median,koi_period_p90,koi_period_maximum,koi_period_standardized_median_difference,koi_period_ks_statistic,koi_duration_count,koi_duration_missing,koi_duration_minimum,koi_duration_p10,koi_duration_median,koi_duration_p90,koi_duration_maximum,koi_duration_standardized_median_difference,koi_duration_ks_statistic,koi_model_snr_count,koi_model_snr_missing,koi_model_snr_minimum,koi_model_snr_p10,koi_model_snr_median,koi_model_snr_p90,koi_model_snr_maximum,koi_model_snr_standardized_median_difference,koi_model_snr_ks_statistic
host_group_stratified,6,7919,test,994,0.15,0.149766460750339,-0.000233539249660991,594,400,0.402414486921529,-0.000478386364594019,860,770,90,224,9,994,0,0.299697755,0.9911728468,7.00469296,79.8688723700001,1064.2680956,-0.00046962006437996,0.022783074823811,994,0,0.4279,1.73799,3.798,10.29752,79.8969,0.000223101821691049,0.018429849853983,983,11,1.5,11,32.5,1064.54,8326.3,-0.00262599444275783,0.031234573282107
host_group_stratified,7,9341,train,4648,0.7,0.70031640801567,0.000316408015669789,2775,1873,0.402969018932874,7.61456467511246e-05,4070,3677,393,971,24,4648,0,0.299697755,0.9337358107,6.8736596425,76.7017244700001,809.0141881,-0.00205220101700296,0.00782530237180237,4648,0,0.1046,1.69103,3.814,9.83437,138.54,0.00260285458639549,0.00659899763932287,4604,44,0.8,11.5,34.55,970.42,8616.1,-0.000382957522902185,0.00630184049857165
host_group_stratified,7,9341,validation,993,0.15,0.149615790266687,-0.00038420973331324,593,400,0.40281973816717,-7.31351189530161e-05,871,789,82,204,4,993,0,0.306937807,0.9458262474,7.24476126,78.3591770200001,1064.2680956,0.00242985257477218,0.0199120223969474,993,0,0.2961,1.7407,3.733,11.98216,117.52,-0.00944464378492071,0.0276696556473892,987,6,0,11.4,35.4,967.96,9054.7,0.000547082175574548,0.0222348137455102
host_group_stratified,7,9341,test,996,0.15,0.150067801717644,6.78017176435064e-05,595,401,0.402610441767068,-0.000282431519054938,863,776,87,220,8,996,0,0.339069751,0.920261962,7.686778965,76.592806865,601.13797,0.0077684093174505,0.02710011357771,996,0,0.4199,1.64685,3.818765,9.94845,79.8969,0.00331157470663401,0.0147699431143286,991,5,1.5,11.5,35.6,1144.3,8755.2,0.000765915045804371,0.0185846118561432
host_group_stratified,8,104729,train,4648,0.7,0.70031640801567,0.000316408015669789,2773,1875,0.403399311531842,0.000506438245718444,4062,3668,394,980,27,4648,0,0.299697755,0.9362040958,7.054976615,79.2240590400002,1064.2680956,0.000137690779530154,0.00703152695588311,4648,0,0.1046,1.70084,3.768415,10.2389,117.52,-0.00417720977479524,0.00535022848232293,4614,34,1.4,11.5,34.5,1021.93,9054.7,-0.000437665740459637,0.00739633922993671
host_group_stratified,8,104729,validation,996,0.15,0.150067801717644,6.78017176435064e-05,597,399,0.400602409638554,-0.00229046364756902,872,787,85,209,4,996,0,0.436282594,0.933764345,6.741291985,84.6659282,659.2907,-0.00365089772635572,0.0166103618935589,996,0,0.2961,1.6781,3.854,10.06625,138.54,0.00855223649815658,0.0257560299961334,987,9,0,11.72,35.3,943.98,8248.4,0.000437665740459637,0.0205594330674336
host_group_stratified,8,104729,test,993,0.15,0.149615790266687,-0.00038420973331324,593,400,0.40281973816717,-7.31351189530161e-05,870,787,83,206,5,993,0,0.366197145,0.8658765224,7.04715073,61.933131714,677.56282,4.31720969941807e-05,0.0333479451838627,993,0,0.3969,1.702648,3.81881,9.61520000000001,84.32,0.00331826776128475,0.019927043925529,981,12,0.8,11.4,36.7,936.1,7428.7,0.00196949583206838,0.0278681456330257
host_group_stratified,9,130363,train,4648,0.7,0.70031640801567,0.000316408015669789,2775,1873,0.402969018932874,7.61456467511246e-05,4068,3677,391,971,23,4648,0,0.299697755,0.9271996732,6.8734108525,76.6494979,1064.2680956,-0.00205520582770848,0.0103085451429256,4648,0,0.2961,1.67676,3.73775,9.7592,138.54,-0.00873815468289908,0.0105701114365121,4604,44,0,11.4,35.3,978.939999999998,8616.1,0.000437665740459637,0.00595316822516507
host_group_stratified,9,130363,validation,994,0.15,0.149766460750339,-0.000233539249660991,594,400,0.402414486921529,-0.000478386364594019,864,778,86,216,8,994,0,0.341842017,0.9774332668,7.66368443,73.0828253640001,677.56282,0.00748948047783926,0.0259591297976195,994,0,0.4053,1.76658,3.9054,9.807,90.95,0.0161971922547696,0.0299124868239117,986,8,3.3,11.7,35.6,1126.25,9054.7,0.000765915045804371,0.0223515112517204
host_group_stratified,9,130363,test,995,0.15,0.149917131233991,-8.28687660087424e-05,594,401,0.403015075376884,0.000122202090761192,872,787,85,208,5,995,0,0.436282594,0.9337475374,7.41084314,85.3291761,670.645531,0.00443573951161035,0.0324766820390941,995,0,0.1046,1.7082,3.926,11.42924,90.01,0.0192611239393265,0.0318880828733088,992,3,0.8,11.6,32.65,977.08,8755.2,-0.00246186979008547,0.0312261078601464
